20.00	0.0
20.55	0.1
21.11	0.2
21.69	0.3
22.29	0.4
22.90	0.5
23.53	0.5
24.18	0.6
24.84	0.7
25.52	0.8
26.22	0.9
26.94	1.0
27.68	1.1
28.44	1.2
29.22	1.3
30.03	1.4
30.85	1.4
31.70	1.5aaaaaaaaaaaaa
32.57	1.5
33.46	1.6
34.38	1.6
35.33	1.6
36.30	1.6
37.29	1.6
38.32	1.6
39.37	1.6
40.45	1.6
41.56	1.6
42.70	1.6
43.87	1.5
45.08	1.5
46.32	1.5
47.59	1.5
48.90	1.5
50.24	1.4
51.62	1.4
53.03	1.4
54.49	1.3
55.99	1.3
57.52	1.3
59.10	1.3
60.73	1.2
62.39	1.2
64.11	1.2
65.87	1.2
67.68	1.2
69.54	1.2
71.44	1.2
73.41	1.2
75.42	1.3
77.49	1.3
79.62	1.3
81.81	1.3
84.05	1.3
86.36	1.3
88.73	1.3
91.17	1.3
93.67	1.3
96.25	1.3
98.89	1.3
101.60	1.2
104.39	1.1
107.26	1.1
110.21	1.1
113.23	1.1
116.34	1.1
119.54	1.2
122.82	1.3
126.19	1.3
129.66	1.3
133.22	1.4
136.87	1.4
140.63	1.4
144.50	1.5
148.46	1.5
152.54	1.5
156.73	1.5
161.03	1.5
165.45	1.4
170.00	1.4
174.67	1.3
179.46	1.2
184.39	1.1
189.45	1.0
194.65	0.8
200.00	0.7
205.49	0.5
211.13	0.4
216.93	0.3
222.89	0.2
229.01	0.2
235.30	0.2
241.76	0.1
248.40	0.1
255.22	0.2
262.23	0.2
269.43	0.3
276.83	0.3
284.43	0.4
292.24	0.5
300.26	0.5
308.51	0.4
316.98	0.4
325.68	0.3
334.63	0.3
343.81	0.3
353.26	0.3
362.96	0.2
372.92	0.1
383.16	-0.1
393.68	-0.2
404.49	-0.3
415.60	-0.3
427.01	-0.3
438.74	-0.2
450.79	0.0
463.17	0.1
475.88	0.2
488.95	0.3
502.38	0.4
516.17	0.5
530.35	0.6
544.91	0.7
559.87	0.8
575.25	0.9
591.04	0.9
607.27	1.0
623.95	1.1
641.08	1.2
658.68	1.2
676.77	1.2
695.35	1.2
714.45	1.1
734.07	1.0
754.22	0.9
774.94	0.7
796.21	0.6
818.08	0.4
840.54	0.3
863.62	0.2
887.34	0.1
911.70	0.0
936.74	0.0
962.46	0.0
988.89	0.0
1016.04	0.0
1043.94	-0.1
1072.61	-0.1
1102.06	-0.2
1132.33	-0.2
1163.42	-0.2
1195.37	-0.3
1228.19	-0.2
1261.91	-0.2
1296.57	-0.1
1332.17	-0.2
1368.75	-0.2
1406.34	-0.4
1444.95	-0.5
1484.63	-0.6
1525.40	-0.6
1567.28	-0.6
1610.32	-0.5
1654.54	-0.4
1699.97	-0.2
1746.65	-0.1
1794.61	0.1
1843.89	0.4
1894.53	0.5
1946.55	0.5
2000.00	0.2
2054.92	-0.1
2111.35	-0.3
2169.32	-0.5
2228.89	-0.5
2290.10	-0.4
2352.98	-0.3
2417.59	0.0
2483.98	0.3
2552.19	0.4
2622.27	0.5
2694.27	0.5
2768.26	0.5
2844.27	0.6
2922.37	0.6
3002.62	0.5
3085.07	0.2
3169.79	-0.2
3256.83	-0.4
3346.26	-0.5
3438.14	-0.3
3532.55	-0.1
3629.56	0.3
3729.22	0.5
3831.62	0.5
3936.84	0.3
4044.94	-0.2
4156.01	-0.9
4270.14	-1.8
4387.39	-2.7
4507.87	-3.0
4631.65	-2.4
4758.83	-1.4
4889.51	-0.5
5023.77	-0.6
5161.72	-0.7
5303.46	-1.0
5449.09	-1.2
5598.72	-1.0
5752.46	-0.5
5910.42	0.1
6072.72	0.4
6239.47	0.1
6410.80	-0.5
6586.84	-0.9
6767.71	-0.6
6953.55	0.1
7144.49	1.0
7340.67	1.3
7542.24	0.9
7749.35	0.3
7962.14	0.2
8180.78	0.8
8405.42	1.1
8636.23	0.9
8873.37	0.4
9117.03	0.0
9367.38	0.6
9624.61	1.1
9888.89	0.8
10160.44	0.3
10439.44	0.5
10726.10	0.9
11020.63	0.8
11323.25	0.2
11634.18	-0.1
11953.65	0.1
12281.89	0.0
12619.15	-1.2
12965.66	-1.2
13321.69	-0.1
13687.50	-0.8
14063.35	-2.2
14449.52	-2.0
14846.30	-1.2
15253.97	-1.7
15672.84	-1.6
16103.21	-0.9
16545.39	-2.0
16999.72	-2.8
17466.52	-2.0
17946.14	-2.7
18438.94	-3.1
18945.26	-1.8
19465.49	-1.1
20000.00	0.2
